Feature,CompGroup(C),BaseGroup(B),NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,95%Conf.Int.1,95%Conf.Int.2,MeanC,MeanB,NullValue-DifferenceInMeans,Alternative,Method,FDR
X2529782_MRPL44,Relapse,RelapseFree,20,20,-1.06683421487188,-0.46917140019615,33.5660239322043,0.641980418496459,-0.49781919421471,0.31114719421471,4.650104,4.74344,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2689112_CCDC52,Relapse,RelapseFree,20,20,1.06887118710699,0.469565643056783,30.2370200976142,0.642034085411085,-0.321688287959446,0.513864287959446,6.089271,5.993183,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2725381_SLC30A9,Relapse,RelapseFree,20,20,-1.08286733101525,-0.468624458188708,37.3466902852636,0.642062000528706,-0.611306205225113,0.381593205225113,6.722283,6.8371395,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3791254_TNFRSF11A,Relapse,RelapseFree,20,20,1.0440761940509,0.468627540613415,37.3049099304566,0.642062855071434,-0.206748019619991,0.331202019619991,4.89428,4.832053,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3415273_C12orf44,Relapse,RelapseFree,20,20,1.03251697476074,0.468815945220487,34.8292962227545,0.642122453563837,-0.15377942803728,0.246110428037282,5.6632585,5.617093,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2807716_C7,Relapse,RelapseFree,20,20,1.06928245741167,0.470266175850369,25.7418376986945,0.642124879070593,-0.325989011530756,0.519275011530755,3.3746245,3.2779815,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2360633_EFNA4,Relapse,RelapseFree,20,20,-1.03311044913985,-0.469020375216373,33.0881805357301,0.64213083114491,-0.250826476854895,0.156837476854894,4.2220195,4.269014,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2673684_IP6K2,Relapse,RelapseFree,20,20,1.05821296605717,0.4685895703589,36.2579132061636,0.642168143357257,-0.271584077582232,0.434844077582233,6.47639,6.39476,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3847590_RFX2,Relapse,RelapseFree,20,20,1.02055540000339,0.468302059712318,37.9648050357421,0.642246240739772,-0.0975441254139226,0.156253125413923,5.190335,5.1609805,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2498806_SLC5A7,Relapse,RelapseFree,20,20,1.02142268100071,0.468591094808647,35.2091196686923,0.642250245867802,-0.101875616756216,0.163035616756216,2.270942,2.240362,0,two.sided,Welch Two Sample t-test,0.998325515159334
X4022009_FRMD7,Relapse,RelapseFree,20,20,-1.02515424900084,-0.468089222492214,37.8746064855869,0.642403392309792,-0.190863156393428,0.119181156393428,2.6196445,2.6554855,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3969047_PRPS2,Relapse,RelapseFree,20,20,-1.05628416103007,-0.46808804116049,37.6789234087993,0.642418102906869,-0.420745365529219,0.26274936552922,5.798015,5.877013,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3719474_TADA2A,Relapse,RelapseFree,20,20,-1.06011736970966,-0.468024880118753,37.9365581209325,0.642444621879763,-0.44854638004259,0.280098380042589,4.1096425,4.1938665,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3497659_RAP2A,Relapse,RelapseFree,20,20,1.09669092850558,0.46781833732816,37.8298988272074,0.642598499469251,-0.443139485285152,0.709453485285153,6.483964,6.350807,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3610804_IGF1R,Relapse,RelapseFree,20,20,1.07196440400855,0.467767616097055,37.9415512411764,0.642626578947519,-0.333654939991364,0.534168939991364,5.681216,5.580959,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3813297_CYB5A,Relapse,RelapseFree,20,20,1.10588625038617,0.467727360623891,37.7226998265739,0.64267056510222,-0.483409109078553,0.773815109078554,6.7625785,6.6173755,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3082954_ARHGEF10,Relapse,RelapseFree,20,20,-1.06679465379305,-0.467790619386165,37.0395469411449,0.642675165166583,-0.497312591690341,0.310747591690341,5.347112,5.4403945,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3735623_MFSD11,Relapse,RelapseFree,20,20,1.04102087610318,0.467772704543962,37.1876280421695,0.642676991055592,-0.193185228374094,0.309183228374094,3.954651,3.896652,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3110055_FLJ45248,Relapse,RelapseFree,20,20,1.05244183318846,0.467833925865117,36.2182049771632,0.642706372903124,-0.245863056496293,0.393344056496293,3.401316,3.3275755,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3851353_ZNF563,Relapse,RelapseFree,20,20,1.03575874416244,0.467696019582561,36.4367102159847,0.642787331967599,-0.169021511902562,0.270397511902562,2.8140715,2.7633835,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3243078_ZNF33A,Relapse,RelapseFree,20,20,-1.09063321635615,-0.467525044459395,37.6904553366195,0.642816237045665,-0.667283860994493,0.416951860994492,5.5162335,5.6413995,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3204534_STOML2,Relapse,RelapseFree,20,20,-1.08419179952472,-0.467505035670696,37.6369308115247,0.642834229898858,-0.621768911262324,0.388528911262324,6.696376,6.812996,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3876084_C20orf103,Relapse,RelapseFree,20,20,1.03763892096698,0.467852646816311,33.2242152395753,0.642944511705009,-0.178437320952337,0.285046320952337,3.3603875,3.307083,0,two.sided,Welch Two Sample t-test,0.998325515159334
