"","CompGroup.C.","BaseGroup.B.","NumSamplesInC","NumSamplesInB","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanC","MeanB","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"X3388859_MMP12","Relapse","RelapseFree",20,20,-1.887529903,-2.786118679,36.67603163,0.00839429,-1.58321849,-0.24978051,4.797319,5.7138185,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3681956_KIAA0430","Relapse","RelapseFree",20,20,1.365032216,2.778342865,37.31264447,0.0085034,0.121627841,0.776242159,5.9728115,5.5238765,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2362333_MNDA","Relapse","RelapseFree",20,20,-1.256212038,-2.783380362,34.39392547,0.008678484,-0.569251631,-0.088908369,2.741858,3.070938,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3835675_CEACAM19","Relapse","RelapseFree",20,20,1.132934143,2.77011582,36.92006896,0.008718862,0.048347131,0.311780869,5.421838,5.241774,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3487299_TNFSF11","Relapse","RelapseFree",20,20,-1.155588699,-2.774833658,35.03854607,0.008798454,-0.361257222,-0.055998778,3.300424,3.509052,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3323365_","Relapse","RelapseFree",20,20,1.283482833,2.753930945,37.87823733,0.008994923,0.095355686,0.624772314,2.996747,2.636683,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3802924_DSC3","Relapse","RelapseFree",20,20,-1.861825032,-2.794634879,28.5837238,0.009180545,-1.553387925,-0.240047075,2.402589,3.2993065,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3607503_ABHD2","Relapse","RelapseFree",20,20,1.354420768,2.74614587,37.79816902,0.009181471,0.114974958,0.760377042,8.464571,8.026895,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2482440_C2orf73","Relapse","RelapseFree",20,20,-1.1917722,-2.784784357,29.85582817,0.00920904,-0.438767835,-0.067449165,2.5039665,2.757075,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2497018_LOC100131131","Relapse","RelapseFree",20,20,1.183073331,2.750375492,36.37002575,0.009218299,0.063756931,0.421322069,2.898408,2.6558685,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3103494_TMEM70","Relapse","RelapseFree",20,20,-1.279820517,-2.74172152,37.99977308,0.009266525,-0.618756681,-0.093126319,5.205303,5.5612445,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3259400_CCNJ","Relapse","RelapseFree",20,20,-1.212891501,-2.733185183,37.98813,0.00946994,-0.484693149,-0.072207851,5.8348155,6.113266,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3873017_MZF1","Relapse","RelapseFree",20,20,1.096272536,2.744690641,35.14083813,0.009477523,0.034538273,0.230674727,4.6459125,4.513306,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2650393_PPM1L","Relapse","RelapseFree",20,20,1.28213751,2.74741994,34.41602174,0.00949192,0.093451737,0.623650263,4.1010255,3.7424745,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3865223_TRAPPC6A","Relapse","RelapseFree",20,20,1.258206308,2.732702174,37.77558037,0.009501119,0.085841797,0.576895203,5.0839195,4.752551,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3454841_BIN2","Relapse","RelapseFree",20,20,-1.211452635,-2.742029424,35.22911255,0.00953133,-0.481578044,-0.071897956,3.171323,3.448061,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3816611_THOP1","Relapse","RelapseFree",20,20,-1.140438382,-2.792679145,26.70927566,0.00954177,-0.328953486,-0.050223514,5.9191745,6.108763,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3428573_SPIC","Relapse","RelapseFree",20,20,-1.253038289,-2.783355773,27.17520793,0.009671278,-0.565258573,-0.085602427,1.330219,1.6556495,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3329793_SLC39A13","Relapse","RelapseFree",20,20,1.145773996,2.724539285,37.08659451,0.009764854,0.050332379,0.342312621,5.173967,4.9776445,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2370823_RGSL1","Relapse","RelapseFree",20,20,-1.183662269,-2.755186954,30.72301843,0.00977011,-0.423393476,-0.063121524,2.332339,2.5755965,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3982721_FAM46D","Relapse","RelapseFree",20,20,-1.122845164,-2.745844793,32.27416045,0.009785365,-0.291120246,-0.043197754,1.349603,1.516762,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3777263_ARHGAP28","Relapse","RelapseFree",20,20,-1.11198706,-2.71644389,37.62571846,0.009913082,-0.267302869,-0.038977131,2.356255,2.509395,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3329029_CRY2","Relapse","RelapseFree",20,20,1.165440216,2.726318114,35.07176428,0.00992975,0.056416095,0.385333905,5.528741,5.307866,0,"two.sided","Welch Two Sample t-test",0.998325515
