Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
X3955327_C22orf13,Relapse,RelapseFree,20,20,1.265760981,2.507320551,37.28085886,0.016647433,0.065313189,0.614696811,5.7249475,5.3849425,0,two.sided,Welch Two Sample t-test,0.998325515
X3526454_GRTP1,Relapse,RelapseFree,20,20,1.18793179,2.512757304,34.74633052,0.016774779,0.047670158,0.449233842,5.718197,5.469745,0,two.sided,Welch Two Sample t-test,0.998325515
X3320865_PARVA,Relapse,RelapseFree,20,20,1.503790925,2.501649335,37.99885042,0.016786619,0.112291165,1.064916835,7.2938975,6.7052935,0,two.sided,Welch Two Sample t-test,0.998325515
X3095257_IDO2,Relapse,RelapseFree,20,20,-1.139801819,-2.516376998,33.41989433,0.016831661,-0.341343074,-0.036222926,2.410149,2.598932,0,two.sided,Welch Two Sample t-test,0.998325515
X2875685_FSTL4,Relapse,RelapseFree,20,20,1.112772367,2.50112699,37.67965366,0.016847371,0.029348875,0.278968125,4.2433735,4.089215,0,two.sided,Welch Two Sample t-test,0.998325515
X3708919_SHBG,Relapse,RelapseFree,20,20,1.137758607,2.503779166,36.11526846,0.016943784,0.035391223,0.336997777,4.5133615,4.327167,0,two.sided,Welch Two Sample t-test,0.998325515
X2343025_AK5,Relapse,RelapseFree,20,20,-1.149414776,-2.496320678,37.97910585,0.017006403,-0.363822127,-0.037976873,3.242184,3.4430835,0,two.sided,Welch Two Sample t-test,0.998325515
X2422035_GBP5,Relapse,RelapseFree,20,20,-1.350775109,-2.509438064,33.98508414,0.017022678,-0.785091854,-0.082483146,3.8495675,4.283355,0,two.sided,Welch Two Sample t-test,0.998325515
X2684851_VGLL3,Relapse,RelapseFree,20,20,-1.118644014,-2.53832853,26.80376746,0.017264636,-0.292545482,-0.030956518,1.3720075,1.5337585,0,two.sided,Welch Two Sample t-test,0.998325515
X2903189_HLA.DRA,Relapse,RelapseFree,20,20,-1.732796819,-2.488759254,37.86284923,0.017333792,-1.438300737,-0.147904263,6.64207,7.4351725,0,two.sided,Welch Two Sample t-test,0.998325515
X2898371_NRSN1,Relapse,RelapseFree,20,20,-1.170149612,-2.494461742,35.59834868,0.017398596,-0.411075422,-0.042310578,3.5932235,3.8199165,0,two.sided,Welch Two Sample t-test,0.998325515
X3706950_SPNS3,Relapse,RelapseFree,20,20,1.106704837,2.486817907,37.72257258,0.017432705,0.027170232,0.265370768,4.978909,4.8326385,0,two.sided,Welch Two Sample t-test,0.998325515
X3028766_PRSS1,Relapse,RelapseFree,20,20,-1.353683062,-2.494954451,34.38721072,0.01755632,-0.792607594,-0.081172406,4.586284,5.023174,0,two.sided,Welch Two Sample t-test,0.998325515
X3359448_SLC22A18AS,Relapse,RelapseFree,20,20,1.217953877,2.486887388,36.37984504,0.017606622,0.05256258,0.51635642,4.48782,4.2033605,0,two.sided,Welch Two Sample t-test,0.998325515
X3216023_C9orf130,Relapse,RelapseFree,20,20,-1.158558184,-2.495053487,34.01103646,0.017610245,-0.38527362,-0.03938738,3.9200745,4.132405,0,two.sided,Welch Two Sample t-test,0.998325515
X3927081_NCRNA00158,Relapse,RelapseFree,20,20,-1.151048402,-2.493606211,34.25009428,0.017633684,-0.368303427,-0.037593573,1.9122145,2.115163,0,two.sided,Welch Two Sample t-test,0.998325515
X3374402_LPXN,Relapse,RelapseFree,20,20,1.163315565,2.495411014,32.83330567,0.017786064,0.04027448,0.39621052,4.3655305,4.147288,0,two.sided,Welch Two Sample t-test,0.998325515
X2707876_LAMP3,Relapse,RelapseFree,20,20,-1.215233883,-2.484913756,35.59272748,0.01780036,-0.510857941,-0.051610059,4.5626825,4.8439165,0,two.sided,Welch Two Sample t-test,0.998325515
X3046520_TARP,Relapse,RelapseFree,20,20,-1.135130369,-2.476707972,37.81925385,0.017849008,-0.332344649,-0.033371351,2.906941,3.089799,0,two.sided,Welch Two Sample t-test,0.998325515
X2903285_PSMB9,Relapse,RelapseFree,20,20,-1.746442326,-2.479461406,36.78114212,0.017867283,-1.461914673,-0.146923327,8.06523,8.869649,0,two.sided,Welch Two Sample t-test,0.998325515
X3955102_GSTT1,Relapse,RelapseFree,20,20,1.321239952,2.503686242,30.39175638,0.017883156,0.074243395,0.729541605,4.7795155,4.377623,0,two.sided,Welch Two Sample t-test,0.998325515
X3186123_ORM1,Relapse,RelapseFree,20,20,-2.144156187,-2.552209887,22.75612444,0.017894195,-1.992860969,-0.207959031,1.9675315,3.0679415,0,two.sided,Welch Two Sample t-test,0.998325515
X3937587_MED15,Relapse,RelapseFree,20,20,1.163957999,2.482878629,35.41685226,0.017912341,0.040018653,0.398059347,5.6136485,5.3946095,0,two.sided,Welch Two Sample t-test,0.998325515
X3928590_KRTAP21.1,Relapse,RelapseFree,20,20,1.764082461,2.471587662,37.66501637,0.018089562,0.147973904,1.489862096,3.160773,2.341855,0,two.sided,Welch Two Sample t-test,0.998325515
X3260895_SEMA4G,Relapse,RelapseFree,20,20,1.228969831,2.483926449,33.86038541,0.018104609,0.05405182,0.54084718,5.2921165,4.994667,0,two.sided,Welch Two Sample t-test,0.998325515
